tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031030102,27,less than 80.6451612903226% of other census tracts,19.35483871,80.64516129,medium                                                                          ,12.0892613,less than 90.547263681592% of other census tracts,9.452736318,90.54726368,26,less than 78.4825870646766% of other census tracts,21.51741294,78.48258706,157
17031030103,7,less than 97.0223325062035% of other census tracts,2.977667494,97.02233251,low                                                                             ,17.47759109,less than 66.7910447761194% of other census tracts,33.20895522,66.79104478,8,less than 94.7761194029851% of other census tracts,5.223880597,94.7761194,56
17031030104,13,less than 92.4317617866005% of other census tracts,7.568238213,92.43176179,medium                                                                          ,9.572285914,less than 97.1393034825871% of other census tracts,2.860696517,97.13930348,10,less than 93.407960199005% of other census tracts,6.592039801,93.4079602,227
17031030200,59,less than 53.7220843672457% of other census tracts,46.27791563,53.72208437,lowest                                                                          ,33.40708067,more than 95.5223880597015% of other census tracts,95.52238806,4.47761194,114,more than 72.1393034825871% of other census tracts,72.13930348,27.86069652,3
17031030300,88,more than 64.7642679900745% of other census tracts,64.76426799,35.23573201,medium                                                                          ,32.09377704,more than 94.2786069651741% of other census tracts,94.27860697,5.721393035,72,more than 53.3582089552239% of other census tracts,53.35820896,46.64179104,119
17031030400,74,more than 57.1960297766749% of other census tracts,57.19602978,42.80397022,medium                                                                          ,24.5190054,more than 73.134328358209% of other census tracts,73.13432836,26.86567164,146,more than 79.228855721393% of other census tracts,79.22885572,20.77114428,138
17031030500,109,more than 75.1861042183623% of other census tracts,75.18610422,24.81389578,low                                                                             ,30.00995034,more than 91.044776119403% of other census tracts,91.04477612,8.955223881,251,more than 90.7960199004975% of other census tracts,90.7960199,9.2039801,18
17031030601,25,less than 83.0024813895782% of other census tracts,16.99751861,83.00248139,medium                                                                          ,14.80885544,less than 80.2238805970149% of other census tracts,19.7761194,80.2238806,49,less than 60.5721393034826% of other census tracts,39.4278607,60.5721393,192
17031030603,9,less than 95.409429280397% of other census tracts,4.59057072,95.40942928,medium                                                                          ,14.49691614,less than 81.592039800995% of other census tracts,18.4079602,81.5920398,22,less than 82.2139303482587% of other census tracts,17.78606965,82.21393035,150
17031030604,16,less than 89.9503722084367% of other census tracts,10.04962779,89.95037221,low                                                                             ,20.07481399,less than 50.2487562189055% of other census tracts,49.75124378,50.24875622,18,less than 85.8208955223881% of other census tracts,14.17910448,85.82089552,77
17031030701,2,less than 99.0074441687345% of other census tracts,0.9925558313,99.00744417,medium                                                                          ,17.09146663,less than 68.9054726368159% of other census tracts,31.09452736,68.90547264,13,less than 90.2985074626866% of other census tracts,9.701492537,90.29850746,181
17031030702,3,less than 98.6352357320099% of other census tracts,1.364764268,98.63523573,medium                                                                          ,10.74154244,less than 94.1542288557214% of other census tracts,5.845771144,94.15422886,1,less than 98.5074626865672% of other census tracts,1.492537313,98.50746269,118
17031030703,14,less than 91.5632754342432% of other census tracts,8.436724566,91.56327543,medium                                                                          ,19.19681769,less than 54.726368159204% of other census tracts,45.27363184,54.72636816,37,less than 69.1542288557214% of other census tracts,30.84577114,69.15422886,178
17031030706,11,less than 93.7965260545906% of other census tracts,6.203473945,93.79652605,low                                                                             ,25.35276851,more than 76.4925373134328% of other census tracts,76.49253731,23.50746269,33,less than 73.2587064676617% of other census tracts,26.74129353,73.25870647,48
17031030800,137,more than 83.3746898263027% of other census tracts,83.37468983,16.62531017,lowest                                                                          ,33.8363993,more than 95.771144278607% of other census tracts,95.77114428,4.228855721,461,more than 98.7562189054726% of other census tracts,98.75621891,1.243781095,9
17031030900,105,more than 73.0769230769231% of other census tracts,73.07692308,26.92307692,low                                                                             ,23.97689055,more than 69.5273631840796% of other census tracts,69.52736318,30.47263682,170,more than 83.2089552238806% of other census tracts,83.20895522,16.79104478,87
17031031000,94,more than 67.6178660049628% of other census tracts,67.617866,32.382134,medium                                                                          ,23.99505173,more than 69.6517412935323% of other census tracts,69.65174129,30.34825871,204,more than 86.81592039801% of other census tracts,86.8159204,13.1840796,129
17031031100,108,more than 74.5657568238214% of other census tracts,74.56575682,25.43424318,low                                                                             ,24.47626446,more than 72.5124378109453% of other census tracts,72.51243781,27.48756219,235,more than 89.5522388059702% of other census tracts,89.55223881,10.44776119,81
